"SourceRoot","RelativePath","FileName","Extension","SizeBytes","Category","LayerCandidate","FunctionalRole","ContainsArabicText","MissingFromActiveByName","SameHashAsActiveWorkspace","SameHashAsActiveCompiled","NamespaceCount","Namespaces","TypeCount","Types","MethodLikeMemberCount","UsingCount"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/DatabaseManager.cs","DatabaseManager.cs",".cs","20202","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","True","False","True","True","1","EJLive.Core.Services","1","DatabaseManager","17","19"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/JournalSyncAlertService.cs","JournalSyncAlertService.cs",".cs","5169","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncAlertService","2","4"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/JournalSyncDashboardService.cs","JournalSyncDashboardService.cs",".cs","2702","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncDashboardService","1","4"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/JournalSyncMonitorService.cs","JournalSyncMonitorService.cs",".cs","10215","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncMonitorService","15","5"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/JournalSyncService.cs","JournalSyncService.cs",".cs","7405","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncService","10","8"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/JournalSyncStateService.cs","JournalSyncStateService.cs",".cs","12081","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","2","JournalSyncStateService;JournalSyncStateFile","15","8"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/JournalSyncStateStore.cs","JournalSyncStateStore.cs",".cs","7692","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncStateStore","13","7"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/JournalSyncTracker.cs","JournalSyncTracker.cs",".cs","11055","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","False","False","1","EJLive.Core.Services","3","JournalSyncTracker;in;PersistedJournalSyncState","15","7"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/JournalSyncTrackerService.cs","JournalSyncTrackerService.cs",".cs","10051","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncTrackerService","14","8"
"_codex_zip_study_20260515_053548","FixedGpt/EJLive.Core/Services/JournalSyncTrackingService.cs","JournalSyncTrackingService.cs",".cs","9516","Service/Manager/Engine","Business Layer","Preserved operational behavior for staged service, manager, engine, adapter, parser, or handler promotion.","False","False","True","True","1","EJLive.Core.Services","1","JournalSyncTrackingService","7","6"
