"SourceRoot","Project","DependencyType","Include","Version"
"Kimi_Agent","Kimi_Agent/EJLiveEnterprise/EJLive.Client/EJLive.Client.csproj","PackageReference","Microsoft.Data.Sqlite","8.0.0"
"Kimi_Agent","Kimi_Agent/EJLiveEnterprise/EJLive.Client/EJLive.Client.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"Kimi_Agent","Kimi_Agent/EJLiveEnterprise/EJLive.Core/EJLive.Core.csproj","PackageReference","Microsoft.Data.Sqlite","8.0.0"
"Kimi_Agent","Kimi_Agent/EJLiveEnterprise/EJLive.Core/EJLive.Core.csproj","PackageReference","System.Drawing.Common","8.0.0"
"Kimi_Agent","Kimi_Agent/EJLiveEnterprise/EJLive.Installer/EJLive.Installer.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"Kimi_Agent","Kimi_Agent/EJLiveEnterprise/EJLive.Server/EJLive.Server.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
