"SourceRoot","Project","DependencyType","Include","Version"
"_coder01_source_study","Coder01/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System",""
"_coder01_source_study","Coder01/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Core",""
"_coder01_source_study","Coder01/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Data",""
"_coder01_source_study","Coder01/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Drawing",""
"_coder01_source_study","Coder01/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"_coder01_source_study","Coder01/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Xml",""
"_coder01_source_study","Coder01/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"_coder01_source_study","Coder01/EJLive.Monitoring.WinForms/EJLive.Monitoring.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Core\EJLive.Core.csproj",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","ProjectReference","..\EJLive.Shared\EJLive.Shared.csproj",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","Microsoft.VisualBasic",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Core",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Data",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Drawing",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Windows.Forms",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Xml",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Xml.Linq",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","Microsoft.CSharp",""
"_coder01_source_study","Coder01/EJLive.Server.WinForms/EJLive.Server.WinForms.csproj","AssemblyReference","System.Data.SQLite",""
"_coder01_source_study","Coder01/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System",""
"_coder01_source_study","Coder01/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Core",""
"_coder01_source_study","Coder01/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Data",""
"_coder01_source_study","Coder01/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Drawing",""
"_coder01_source_study","Coder01/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Windows.Forms",""
"_coder01_source_study","Coder01/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml",""
"_coder01_source_study","Coder01/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","System.Xml.Linq",""
"_coder01_source_study","Coder01/EJLive.Shared/EJLive.Shared.csproj","AssemblyReference","Microsoft.CSharp",""
